Stars,Title_of_Review,Base_Review,,,
1.0 out of 5 stars,I got a new tablet with Marshmallow. Apparently the ...,"I got a new tablet with Marshmallow.  Apparently the app has been abandoned, because I get ""invalid file"" every time I try to read a file into the app.  This is not just a tablet problem, because I just checked my phone that has Marshmallow, and that also gives the same message.",,,
3.0 out of 5 stars,Almost there.,"Seeing as how this app is as expensive as many office suite apps I was expecting a bit more.  Yes it does annotations.  It is clunky and crashy and what is worse you can't save a file natively.  You can export it to Dropbox which is a good save alternative but that should remain an alternative.  The best I could manage as a work around is sending it to myself as a ""share to email"" and then saving the attachment.Features I would like to see from an app this expensive but not currently available:Save locallyPrint support (specifically google's cloud print)Print annotations to PDFI'm sure I could think of a few more but these would make a far better app.",,,
1.0 out of 5 stars,"Do you update to 4.6.4, it's broken!","It used to be good, but the latest update 4.6.4 is completely broken. It deson't open PDF on Android 6 (Marshmallow) or 7 (Nogat). Who knows what system the developer has tested on before the release. Mobeera, please update the fix ASAP before everyone switches to other apps!",,,
1.0 out of 5 stars,Terrible terrible,"I tried my best to give a benefit of a doubt. But at the end I gave up. I was studying a pdf file, high lighting, underlining, commenting, making notes etc. to my surprise it started to crash on the 9, out of the 10 pages document. Before this happened the text I wrote on it kept on freezing I had to wait for the tablet to respond after 40 second or so. The worst part is that if you want to open this document using Adobe reader the only thing that is saved are the high lights and the comments. I cleaned the tablet (galaxy tab 3 8 note) from the junk, the memory and killed background tasks, I uninstalled/installed but that didn't help either Arrrghh! to think that I spent 2 hours in this so important document only to re-studying again.",,,
1.0 out of 5 stars,Crashes the system - will not start,This program listed it would work on my kindle - but it did not. It will not start up and crashes the system... and unfortunately No refunds. Just make sure it works on your system.,,,
5.0 out of 5 stars,Great for Studying!,"This is so awesome!  I used to use Adobe, but I wanted something for my e-Textbooks that I could color code my highlighting in an easy and user friendly way.  I love this little thing!  I also bought it for my Android tablets/phone (which was more expensive than buying it on Amazon).  This is a great deal and a great app.  So glad I found it!  I only wished I could download it onto my Windows computer so that I would have a full sync over all of my devices.",,,
2.0 out of 5 stars,Almost works,"Fine on small files, hangs on large.Won't load several 250 MB magazines which Adobe, which is not it's bloated, useless self on Android, and EZPDF Reader handle with ease.Android 4.4.3 on B & N HD+. Samsung Galaxy 2, Android 4.4.4.Loaded with all sorts of very nice features, but it fails at the most basic task; reading PDF's.Perhaps this app has too much max and not enough basic functionality or perhaps 280 MB of available RAM is not enough to load a 250 MB file.Whatever the case, this app does not work with large files (Consumer Reports, etc).Got this free here on the FAOTD",,,
1.0 out of 5 stars,Crashes and invalid,"App doesn't work. It hasn't for the longest time, over 12 months. Not maintained by developer and no response to crash reports. Invalid email and no WEB SITE. I'm on Android 8.0 Oreo on HTC 10 unlocked. Been over 12 months I tried, gave it a chance with new update to OS.. no luck, it still sucks. UNINSTALL ASAP",,,
4.0 out of 5 stars,pretty much everything I was looking for,"I was looking for an app to be able to annotate pdfs and lo and behold this was the faotd! I read a review or two and decided to go for it. It does everything I needed and then some! My only issue so far is printing my documents.  There is print button to click at the top and bottom of the forms I'm filling out, but it doesn't seem to do anything. The drop box feature has been good for that though, I upload it then download to my pc and print. Of course with limited bandwidth this isn't going to be a permanent solution. So my only reasons for 4 stars are: print function not working or not easily located, lack of instructions or tutorials, and unable to figure out how to (or if I can) change the font of the annotations. Thanks for this free app!",,,
1.0 out of 5 stars,Invalid file,"After upgrading to Android 6 (apparently), PDF Max Pro no longer works, it just gives an ""invalid file"" message for ANY PDF that I try to open. Glad I got this free and wasn't suckered into buying it!",,,
4.0 out of 5 stars,A high quality PDF reader that works fairly well!,"Update 6-17-2015I rescanned this software after I reinstalled it.  I did this due to several reviews that claimed malicious code was added like access to your accounts and other items.  While there were some changes to the permissions. they are not catastrophic or particularly invasive and I believe they were added for licensing purposes.  I added more data on the permissions below showing the older and the new permissions list..++++++++++++++++++++++PDF files are very common and I use them all of the time.  I get documents, books and forms from many companies in PDF format and having a good PDF reader is very helpful on your tablet.  This reader is a nice powerful PDF reader and it allows you to mark up your PDF file read and annotate it.  You can even add a voice memo to the file.There is a navigation bar on the LH side of the screen and you can even word search.  You get a full set of tools to use on the PDF and you can copy text, paste, delete, email, rotate the page or even extract pages.This is an office tool that everyone needs for their tablet or smart phone and here is a free offer to get it so you should download it.  I experienced one problem using it on my Samsung Tab 4 when the app stopped working and shut down,  for that I will delete one star.  I had a 232 page document loaded at the time.Original Permissions May 19, 2014:* Record audio* Read and write to external storage* Internet accessPresent Permissions on June 17, 2015:• Read phone status and identity• Record audio• Modify or delete the contents of your USB storage• Full network access• View network connections• View WIFI connections• Install shortcutsThe app does contain a code called Crashlytics but it is targeted at collecting crashlogs to see the possible bugs in their app.The app installed 59.90MB on my device and I have 19.06MB in my device memory and 31.62MB on my SD card.The app also contains Dropbox which is a sharing service to share documents with other people.",,,
5.0 out of 5 stars,The best pdf viewer I have seen,"For the desktop I've always been a big fan of adobe. As mobile devices came into use I've been searching for more efficient and reliable PDF viewers. Transferring files from flash drives, downloading encrypted files, reading ebooks. Obviously I love the kindle app. However there are times when the kindle app cannot be used. In those cases this is an excellent app for the PDF book reader. I have tried a couple other PDF viewers and although I have never paid for a viewer this tops the list. I'm not sure what price I would pay for a viewer. All I can say is this is the best one that I have found.",,,
4.0 out of 5 stars,"Great app for my purposes...plus, NO ADS!!!","I just purchased this app for reading and annotating PDFs for graduate school.  So far, it has worked pretty well.  My only complaint is that you sometimes have to go over phrases several times before the highlight or underline function works.  However, it outperforms the more commonly used ezPDF reader to me because I am no longer interrupted by constant advertisements.  That alone warrants the $3.99 price tag.  So far, I would recommend this app!",,,
1.0 out of 5 stars,"New permissions are a drag, and internet the requirement spoil an otherwise great app","The new permissions really sour what is an otherwise great tool.Also, am not a fan of apps that require the internet to run.I certainly don't need the net to be operational at my PC for 90% + of my apps, why should I the net active on my phone?",,,
1.0 out of 5 stars,Total Piece of Crap that Doesn't Even Work - It's a total Ripoff!,I gave Amazon $4.00 for it and it crashes every time I try and edit a pdf file. I blame Amazon for even having this in the store. This was on the Kindle Fire Platform.,,,
4.0 out of 5 stars,Won't open....... Problem fixed,"Downloaded app and won't work, says interactive network failure.Update:  Had to uninstall Amazon updates for the app to work. Contacted amazon and that was their recommendation. Once I did that, it worked fine. The app is good, but if you have problems opening it, it is probably an amazon app issue.  Not PDF MAX Pro",,,
1.0 out of 5 stars,Warning!!! Will not open on Kindle Fire,Continuously crashes. Cannot open even after restarts. No way to receive refund.,,,
4.0 out of 5 stars,Must have app for .pdf,"Opens .pdf documents way faster than the Adobe app, and more functional as well. This is a must have app if you deal with .pdf documents at all. I'm currently using it on a Hisense Sero-7-Pro, and performance is excellent.EDIT: Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still happy with the performance of this app.",,,
1.0 out of 5 stars,No Longer Works :(,"Like others, I began receiving the ""invalid file!"" message when attempting to open any pdf file with PDF Max Pro after upgrading to Marshmallow. I recently upgraded to Nougat and sadly the issue persists. What was once a very useful app now serves no purpose whatsoever. I guess I finally need to give up hope and uninstall it. Time of death March 4, 2017 11:39.",,,
1.0 out of 5 stars,Refund my account.....,"Bought for my kindle fire 10. Will not open. Would like a refund for $4.23, please. I had this on my kindle fire 7, it worked great. But not on kindle fire 10!!!!!!!!!",,,
5.0 out of 5 stars,Great app!,"Even though I have dyslexia, and reading is not something I look forward to I do read quite a bit because I want to learn everything I can. When I learned that some Kindle's could read text aloud I was excited. I recently got a Kindle Fire HD 7”. I didn't realize though that it didn't read .pdf documents aloud. Luckily, the PDFmax app does. It not only reads aloud, it scrolls as it reads. You can highlight text. You can draw on the document. I'm sure there are many other cool things you can do with this app, but I haven't played around with it enough to do much yet.",,,
1.0 out of 5 stars,DOES NOT WORK. SCAM! Should've listened to the other reviews.,DO NOT WASTE YOUR $4.00. APP DOESN'T EVEN OPEN. Why is there no refund option like on regular Android devices. SCAM!!!!!!!,,,
2.0 out of 5 stars,Decent but not the best,"I like a lot of the features. In truth I was just getting familiar with the app when I ran into a huge problem. It won't run without internet access. Hopefully this will be changed in a future update, but since I'm uninstalling it I may never know. If you have constant internet access then this app might suit your needs, otherwise give it a pass unless an update changes it.",,,
1.0 out of 5 stars,Don't work.,Bought and paid for and don't work on my Kindle fire HD 10.,,,
5.0 out of 5 stars,Much better than the stock PDF reader that comes with Android,"Most notably, it has the ability to have multiple files open (using tabs), and it has the ability to use bookmarks in a document.  I got this app for free (don't know how much it is now), and I definitely recommend it to anybody who reads PDFs on their phone even semi-regularly.Edit: Wow ok, so this app right now is $8.  Yeah, I probably wouldn't pay $8 for this app, but then again, I really haven't taken advantage of all (or even close to all) the features of this app.  It's a very good app, but I'd only pay $8 if I regularly used a tablet (size is better than a phone) to read PDFs.",,,
1.0 out of 5 stars,Doesn't work on Kindle Fire 10,Never opens and will not open any pdfs.  Waste of money.  Please remove this app from the AppStore!,,,
1.0 out of 5 stars,"Crashes repeatedly on some actions, cannot find saved documents.","Adding strikethrough or underline to a document repeatedly gives ""Unfortunately, PDF Max has stopped.""Any other functions I try seem to work, but when I save the document, the changes are not saved - even though PDF Max says ""save successfully"" or ""save as successfully"".Nice concept, but not worth using if the changes are not saved!",,,
1.0 out of 5 stars,Does not display PDF properly,I scanned a multiple page document at work.  When I opened it in PDF Expert the document was unreadable because the pages were offset such that it looked like the scan started half way through the page. At first I thought there was a page sizing issue but I opened the scan in a different PDF reader at the pages displayed correctly so the issue is with PDF Expert. I have other PDFs that displayed properly in PDF Expert but I may as well stick with my other PDF reader that works for all my PDFS.,,,
2.0 out of 5 stars,"Good bones, but crashes on dropbox/email connection","Really want to like this app. Highlighting/annotating is very quick and intuitive on the Kindle Fire HDX (compared to the Adobe Reader app), but will not email annotated PDF's or send them to DropBox. Every time I try, the app crashes and I am told ""PDF Max has stopped working."" In short, no annotations I make are saved properly. Needs an accessible save button that will back up the updated file on the tablet.",,,
4.0 out of 5 stars,Great  study app; I hope they fix the bookmark tool,"I really like this app for studying. I can underline and add notes. I haven't even tried all the options. After the last update it started crashing every time I try to add a bookmark using the icon on the toolbar at the top of the screen. I found a way around this using the menu on the left, but it's a lot less convenient. I still use this app, but I do hope they fix that bug.",,,
2.0 out of 5 stars,editing closes program,"I find this little app very easy to use. However, I have a major issue with it on my galaxy tab S. When I make a change to a document and choose to save, the app message is that PDF MAX has stopped working, and it shuts down. I was able to use the stamp feature to insert an image and save that.  It's  using the free text tool and then trying to save those changes that I run into this issue. I've  tried save, and save as, and different locations, as weĺl as the default location with no luck.",,,
5.0 out of 5 stars,"Fast, full featured, amazing","This is the fastest mobile pdf reader I've ever used and it effortlessly loads huge files with graphics (several 100MB worth), zooms and pans smoothly while rapidly generating thumbnails for other pages allowing quick navigation. Comes with night mode for reading in the dark or if you prefer white text on black background, bookmarks, annotations and cloud sync although I haven't used the cloud sync. A superb package, highly recommended.",,,
5.0 out of 5 stars,Great for Read Aloud,"I don't have time to work and read through my 1300 page textbook, so this reads to me and it is fantastic! It highlights the text as it reads, so I can follow along when I get a chance. My only complaint is it reads the annoying page #s, section heading #s and long copyright information on each page, but I'm not sure how they could get around that. The TTS speech engine it comes with is not good, but I just quickly downloaded the IVONA Text-to-Speech HQ app for free and the female Australian voice anunciates very well. You can also bookmark, highlight, draw lines, put squares around important stuff, etc.",,,
3.0 out of 5 stars,Never used it,downloaded and deleted,,,
1.0 out of 5 stars,Worst app I've ever bought!,It is impossible to use this app. There seems to be no way to navigate to where my documents are. A total scan and waste of money!,,,
3.0 out of 5 stars,"Good app for viewing PDF's, but hard to use","I have a Samsung Galaxy 4 and tablet.  My job is such that I often download attachments from my emails on my phone/tablet.The PDF opens them well; however, the menu bar is confusing making it difficult to edit and save the PDF's.  This was a today's deal.  It definitely is not worth the current selling price of $7.99.",,,
1.0 out of 5 stars,"program does not work, does not load on my KINDLE FIRE HD","DOES NOT WORK, DOES NOT LOAD ON MY KINDLE FIRE. I CHECKED TO MAKE SURE I AM RUNNING THE CURRENT OS SOFTWARE. THIS PROGRAM WILL NOT DISPLAY THE PDF DOCUMENTS THAT I HAVE IN STORAGE ON MY KINDLE. THE DOCUMENTS WILL DISPLAY IF I USE SILK BROWSER AS THE READER, BUT DOCUMENTS WILL NOT DISPLAY IN ""PDF MAX PRO.""  LOOKED FOR A TROUBLESHOOTING GUIDE OR FAQ BUT THERE IS NOT ONE.",,,
4.0 out of 5 stars,Awesome pdf editing tool,"I have been testing PDF reading/editing/annotation apps the past few days and was fortunate enough to get PDF max on the &#34;app of day&#34; offer.This is by far the fastest, easiest and effective tool to annotate and edit PDF files. I wouldn't have thought by the reviews how good it actually is.I have only one problem with it:It does not support a 'crop' function for the surrounding white areas around the text.You can't believe how much this helps reading, much more than the reflow text option, at least for tablets.So I am still torn between my favorite PDF reader, ebookdroid, and the best editor, PDF max.If only the developer would include this option! Then it would deserve the whole 5 stars.",,,
5.0 out of 5 stars,The best Android PDF reader I have found,After struggling with several Android PDF viewer apps I have finally found one that loads quickly and easily scrolls through documents. I guess I was lucky when I used iOS to find something. It seemed even highly rated apps had problems opening and scrolling through simple documents. This one has no problems opening any document I throw at it. Thanks Mobeera.,,,
1.0 out of 5 stars,Doesn't even open--refund please,It won't open at all. I want a refund,,,
4.0 out of 5 stars,Great but it crashes often,"I love the app. However, it does crash on me many times. If you do not save as you edit your pdf files, you can lose your work. I would give it 5 stars if it didn't crash on me most of the time. I still use it because most of my professors post their notes online as pdf files. I find it easier to write notes on my tablet without having to carry many sheets of paper around.",,,
4.0 out of 5 stars,New favorite pdf editor?,"Awesome app for editing pdf's in a note-taking fashion. So far it handles large pdf's with lots of pictures and backgrounds better than Repligo Reader, something I've been needing for a few years.The single feature I would love to see is cloud storage support (dropbox, drive, etc.). There's a whole star waiting to be filled when that becomes available. :-)",,,
1.0 out of 5 stars,Now it doesn't work,"From some time the app shows invalid file when trying to open almost any PDF, I used to love the app and reinstalled hoping they fixed the problem, it doesn't work!!!",,,
5.0 out of 5 stars,Great so far,"So far this is the only PDF reader and editor that works without crashing or significan performance issues. I was lucky to get this for free but for those who can afford it, this app is an essential part of your collection of home office apps.",,,
2.0 out of 5 stars,New suspicious permissions requires (⊙_⊙),"I like this app's features.  Pretty handy to have for modifying PDF files.  But I don't understand why the latest update requires reading users identities? Until I understand the purpose of the requirement or they take it away.  Only 2 ☆worthy to me,  sorry.",,,
4.0 out of 5 stars,Pretty okay.,"Several PDFs can be open at once, but it seems to crash pretty regularly and then struggle to open back up (I have to force quit and restart it).I'm rocking Lollipop on a samsung tab s.",,,
1.0 out of 5 stars,Invalid file,"Looks like when I went to s7 I lost function of this app.  Invalid file error.  Was working file on s4.  My guess is android 6?  Please fix, will rerate when it works.",,,
1.0 out of 5 stars,JUNK,This app won't launch and isn't compatible with computer i needed for. Looking for refund. But there is no refund option. Wrote to support. Guess I'll see what happens...,,,
1.0 out of 5 stars,Not for me,Not really user friendly as I couldn't figure out how to geet it to do any changes so I removed it.,,,
5.0 out of 5 stars,Love It,Love it. I've used it for years now. I receive a weekly church bulletin by email. I download & save the PDF attachment on my tablet. Open it with PDF Max at church and write on it. (Fill in the blanks),,,
1.0 out of 5 stars,Dead to me,Few months ago the application self updated. Since then the program opens you select a pdf the program trys to open then it crashes and goes to the background. Amazon recommended some changes nothing will bring the to a useful state.,,,
1.0 out of 5 stars,Because Zero Stars is not Available.,I installed this back when I had an Galaxy 6.For over a yearIt has consistently displayed INVALID FILE ! error in spite of multiple uninstall/reinstall cycles - even on my Galaxy 7AMAZON STOP OFFERING THIS APP,,,
5.0 out of 5 stars,Best PDF notation and markup anywhere!,"I use this app to highlight and notate scripts I get for shows I perform in. I often have notes on character and line modifications I need to add in, and this app never really misses a beat. Updates are fairly regular, which I appreciate. Good job!",,,
2.0 out of 5 stars,This app has a persistent notification that won't go away...,"This app has a persistent notification that won't go away, and seems to be overly intrusive on your phone. I just got this app and I will try testing it further. There is no real user interface, and you cannot make many changes within the app itself, nor options to choose from.",,,
1.0 out of 5 stars,Does not work with Android 7.0,"Since my tablet was updated with Android 7.0 this no longer functions. It will start okay, but when you try to open an existing doc or create a new doc it abnormally terminates. No response to my inquiries for help.",,,
1.0 out of 5 stars,No funciona no abre no puedo pedir rembolso,Dont work!!!!!!!!!!!! Trash!!!!!!! My money  back!!!!! I can't return.,,,
1.0 out of 5 stars,Features are not functioning,"Search function is ""non-functional"", meaning it does not perform any search.""All files"" displays directories which you have to drill down to chose your file. It should display all PDF files in your system regardless of locations.""un-install"" is my next course of action.",,,
4.0 out of 5 stars,Four Stars,works well.,,,
1.0 out of 5 stars,Good app. Why does it now need to access my accounts?,Was one of the best applications for opening and reading pdf files.Why did Mobeera find it necessary to add the ability to access accounts to an application that already worked great without that permission?,,,
4.0 out of 5 stars,Text Boxes still a problem,"A lot of really good things about this app. Open from  & saue directly to cloud storage. Love that. Annotate, sign, etc. Very nice. Especially for the Sansuy Note series, which I have the Note 4.There is one issue that prevents PDF Max Pro from being my goto pdf app: Text boxes. They can be formatted any way you want. They will not reshape or size to fit your text. The text boxes always and I mean always end up being a skinny rectangle that sits on the page vertically. That is the long sides of the shape run towards top and bottom of page. short sides run left to right.",,,
4.0 out of 5 stars,great,"I love this it lets you read PDF files and saves your latest work. I use it for Crochet patterns I find over the web. The only problem I have is ever so often my files disappear, which maybe something going on with the cleaning app I use. Not sure but I do highly recommended.",,,
1.0 out of 5 stars,Won’t load if you use Amazon Firestick.,I am rating this product 1star because the system would not let me rate it zero stars. This product would not load on my iMac because I am using an Amazon Firestick on my TV. Bizarre!,,,
5.0 out of 5 stars,"A little history...  There used to be TWO versions of this program, Office Suite Viewer (a free version), and Office Suite Profe","Even more popular than Microsoft Word documents are PDFs. In all likelihood, PDFs are the most abundant forms of standalone document people encounter in their daily lives.[PRIVACY: Zero problematic permissions! Yay!]This means a PDF reader is exceedingly important. This one is more than a reader, it is a powerful annotator, which is one step down...",,,
1.0 out of 5 stars,App crash,"I pay for this app in kindle fire 10, and the app crash when i press in the icon NO OPEN, i send message to try contact with the tech support and no response",,,
1.0 out of 5 stars,dont buy it,I paid for it and I cant even use it. Inregret of buyimg this tablet brand. there are no apps available and the ones available are a disapointment.,,,
5.0 out of 5 stars,does the job,highly recommended by hubby who uses it all the time. excellent since i frequently need to receive and sign pdfs,,,
3.0 out of 5 stars,Better than most,"I've tried several pdf aps. This one works the best for me. Had to learn the hard way, though, to hit the back arrow when done or all my editing would not be saved. Am able to underline one word rather than the whole line like some apps. But it will often highlight or underline completely out of the area so I have to be really careful not to go past the word and into the margin of the page. Edit buttons are easy enough to access.I have experienced several crashes with this ap using my Kindle 8.9 HD. One time I couldn't go to the previous page without a crash. So I went to the page just before and then to my page. Crash. Used the select a page feature and went to that page, Crash. After an hour it started working correctly.Overall, it gives me what I need and is much better for me than Adobe. Adobe was ok, just not enough features for me. It did not allow you to underline just one word, Had to underline the whole line or between punctuation. Better than ez pdf pro. Edit buttons on that one too small and crashed all the time.This ap is not exactly what I need, but comes closer than others.",,,
5.0 out of 5 stars,FANTASTIC Program !,Great Program !,,,
2.0 out of 5 stars,Great.... When it works,"I have used this app a few times and enjoyed the functionality. The problem is that it crashes just as much as it works.  Great concept or not, the app has to run without crashing!  Will give it a 4 or 5 when they fix the issue.",,,
3.0 out of 5 stars,Is good when it works,This is a full feature PDF viewer/editor that's really good WHEN IT WORKS.  About half the time I try to open a document and a blank screen is all I get.  I have to close the app and reopen the document for it to work.  Fix this and I would definitely recommend.,,,
4.0 out of 5 stars,Great when it works,"I'm a college student and recently downloaded this to annotate notes with on my Galaxy Tab 4. I mostly use the highlight and freetext features, but recently the app has been crashing every time I try to save after using the freetext feature. This can get annoying, especially if I'm annotating during class and I have to try and restart the app quickly. Other than that, this app is pretty great for what I need to do.",,,
1.0 out of 5 stars,Don't waste your money,"Garbage.  Every pdf file I try to open it says ""invalid file"". Thieves.",,,
5.0 out of 5 stars,This app does it all when it comes to PDF files.,"The most complete PDF app I have used - rich in features. I was fortunate enough to snag this as a FAOTD, so I can't comment on $ value.",,,
5.0 out of 5 stars,Works great on my Kindle Fire HD,"This app works great on my Kindle.  I had files that previously I was unable to open on my Kindle.  After installing PDF Max I was able to open these files, edit them and send them where they needed to go.  Great app.",,,
1.0 out of 5 stars,Useless,Wont open my Pdf's. Just closes its self out.,,,
1.0 out of 5 stars,Will not open PDF files,"Would rate 0 stars if possible, and would like my money back, because the app closes every time I try to open a file.",,,
4.0 out of 5 stars,"Great for reading, good for annotating","I've been using this program for reading and tracking my place in knitting patterns.  Works great for reading, but annotating can be a little difficult from my phone depending on what I am trying to do.",,,
5.0 out of 5 stars,very useful app for kindle,I'm happy that kindle is coming out with more adobe platform apps and this one is good. Im still waiting for a decent flash player app.,,,
2.0 out of 5 stars,"Crashes on 7th generation, works in 5th generation","This app is great on my fifth generation fire, but it completely crashed on my seventh generation. I have not found any other pdf reader app that works as well as this does on my older fire for my newer. It is so frustrating to not be able to have all my pdfs as easily accessed on my newer version. One of the best features is that it shows thumbnails and not just the Adobe symbol. This is great for organizing crochet paterns. If only it would work.",,,
5.0 out of 5 stars,great app,I edit pdfs all of the time for.  Since ive been traviling a lot I use my tablet all of the time.  This makes working while I travel great.,,,
1.0 out of 5 stars,Not working in my tab,I just paid to download this. Not working. It shuts off when I open a Pdf file. :( waste of money,,,
5.0 out of 5 stars,thank you,Pdf max is a powerful tool.  I have books downloaded and use this app to have them read to me. It is female voice.  I love it!  It does a lot more than that too. Awesome!,,,
5.0 out of 5 stars,Essential to my work,"I read a lot of documents for school and work, and need to be able to mark them up easily. PDF Max is responsive and has all the markup tools I need. Documents look good, the interface isn't cluttered. The tools are intuitive.",,,
4.0 out of 5 stars,"Good, Starightforward and Clean Reader.","A great viewer for reading documents and comics. The editing functions, from what I've used, aren't as robust as what I've found in RepliGo and EZPDF Reader. That being said, it's my go-to reader for ""reading"".",,,
5.0 out of 5 stars,Best PDF reader so far,After trying other readers I find this the best. The ability to highlight and make notes is the selling point for me. Tasks I would normally have to do on a printout I can now do directly on the screen.,,,
1.0 out of 5 stars,Poor product,"For $8, I had expected more. Maybe it is the operating system (Android), but this is a poor product. Many free ones that are similar and even better.Don't waste your money.  Also my old windows tablet and phone have better PDF apps",,,
